店铺名称,类别,评分,所在区,所属片区,纬度,经度,详细地址,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜
智行素食(同福店),素食,4.7,三水,三水广场,23.17404,112.896642,三水区同福路11号（明都渔村背后）,单人午/晚餐18.8元;,周一至周日 11:30-19:30,0757-87786679,9257,,
芝士茶语cheese tea,奶茶/果汁,3.3,南海,罗村,23.057446,113.052171,南海区府前路金盛广场入口处（麦当劳甜品站对面）,9.5折（买单立享）;10.9元芝士茶语特饮;,周一至周日 09:00-21:00,18825413418,9252,,"奥利奥奶茶,芝士绿茶,芝士奶霜绿茶,百香果冰沙,芝士奶茶,红豆奶茶,芝士绿茶奶盖,抹茶奶茶"
华之屋恒香(东方广场店),蛋糕,4.3,禅城,东方广场,23.03731,113.12209,禅城区锦华路85号（明珠城首层1AP46、1AP47号铺）,芒果千层59.9元，榴莲忘返69.9元，澳洲奶牛75元，可爱贝奇85元，夏亿香芒87元，盛夏果实88元，红莓乐园88元，踏雪寻梅90元，果园派对90元，原味芝士97元，果然有心106元，玫瑰情缘108元，心心相印108元，栗芒邂逅110元，法式栗子110元，榴芒双拼115元，芒果海滩118元，雪顶榴莲118元，法式旋栗119元，蟠桃献寿120元，缤纷四季128元，白色恋人136元，鲜果盛宴140元...;8.5代10元;,周一至周日 06:30-23:00,0757-81801121/81801333,9225,,"蛋糕,玉米汁,芝士蛋糕,三文治,提子方包,叉烧包,面包糕点,椰丝包,猪扒包,红豆土司,软心包,巧克力脆脆,鸡仔饼,酥皮红豆包,玉松包,寿司卷,瑞士卷,小蛋糕,叉烧酥,奶油面包,蛋糕面包,蓝莓蛋糕,肉松蛋糕,巧克力脆脆棒,手撕面包,肉松牛角,南瓜土司,牛角包,爆米花,蜂巢蛋糕,咸方包,酸奶芝士蛋糕,黑森林蛋糕,曲奇饼,南瓜包,士多啤梨,火腿肠面包,糯米糍,手撕包,奶油水果,芒果酱,一口蛋糕,红枣牛奶,柠檬茶,芝士烤面包,杏仁曲奇,甜甜圈,芝麻蛋糕,红豆糯米糍,夹心面包,酸奶蛋糕"
怡新素食(佛山分店),素食,4.3,禅城,普君新城,23.020624,113.123589,禅城区厚源路12号（市政府斜对面）,3人餐108元，4人餐158元，6人餐248元;95代100元;,周一至周日 11:00-21:00,0757-83361633,9199,怡新素食地处市中心繁华路段，交通方便，是一家经营佛家素食特色菜的餐馆，以摆盘美观，味道鲜美深受食客喜爱，厌倦了大鱼大肉，素食馆就是你的优选。厚实的木制餐桌餐椅，古色古香的书柜，清新的素菜美食，是亲朋聚餐、知己聚会、休闲放松的理想场所。,"苜蓿芽手卷,五谷五仁炒饭,家乡酱萝卜,木瓜竹荪,乾隆生菜包,赛螃蟹,花开富贵,西湖素肉羹,荞麦茶,罗汉斋,水煮三国,铁板豆腐,香椿炒饭,杂菌炒饭,南洋咖喱煲,两袖清风,西兰花叉烧,虽然好吃，不过太多了点,南瓜粥,咕噜肉,素排骨,观音上素,汤丸,赛螃蟹。,水果酵素,1,豆腐煲,九层塔炒菇,炒秋葵,萝卜片,火龙果,豆腐汤,黑椒牛扒,紫菜卷,长寿面"
蒙自源过桥米线(铂顿城店),过桥米线,3.8,禅城,百花广场,23.026378,113.113486,禅城区建新路111号铂顿城B1层（百花广场）,27代30元，55代60元;,周一至周日 10:00-22:00,0757-82917229,9191,,"酸菜鱼,番茄牛肉,状元米线,番茄牛肉米线,肥牛过桥饭,番茄牛肉过桥米线,状元过桥米线,肥牛饭,傣味酸辣米线,酸辣米粉,红烧牛肉米线,香蕉薄饼,云南小锅米线,青瓜雪梨汁,小炒肉套餐,番茄肥牛米线,小炒肉过桥饭,番茄肥牛过桥,肥牛过桥米线,茄汁葱花,酱牛肉,秘制鸡肾,番茄过桥米线,凉拌木耳,云南米线,凉拌三丝,凉拌青瓜,牛肉饭,红烧牛肉,桂林米粉,鲜榨果汁,西瓜汁,猪耳朵,爽口青瓜,帝皇蕉,2人套餐,状元过桥米线，鲜榨橙汁,饺子，香芋卷,剁椒米线,鸡肉的米线,手工牛肉饼,卤蛋,肥羊过桥米线,双皮奶,红烧排骨饭,葱油饼,剁椒牛肉拉面,榴莲Pizza,骨肉相连,红烧牛肉米粉,可口可乐,石锅饭,番茄牛肉粉,香蕉飞饼,秀才米线,番茄肥牛"
善之缘素食,素食,3.9,顺德,乐从,22.955738,113.100775,顺德区德华路R座（御赐福海鲜大酒楼旁）,单人午/晚餐25元;,周一至周日 11:30-20:00,0757-28909389,9170,,
西关布拉肠,快餐,3.8,禅城,东方广场,23.037968,113.121899,禅城区东方广场红宝石首层A09号铺（东方书城旁、7天酒店对面）,2元卤水鸡爪，3.2元卤水鸡翅，5.5元冬菇肉片肠一份，9元肠粉+粥，12元西关艇仔粥+虫草花猪肉肠，17元白领套餐，21元商务套餐;,周一至周日 10:00-20:30  非营业时段 2018-02-15至2018-02-22 全天,0757-63312317,9157,,"冬菇肠粉,冬菇肉肠,卤水鸡爪,卤水鸡翅,姜撞奶"
SUBWAY赛百味(铂顿城商场店),快餐,4.8,禅城,岭南天地,23.026957,113.113243,禅城区祖庙街道建新路铂顿城商场负1层,25.8元三明治套餐，49.8元超值美味双人套餐;,周一至周日 10:00-21:00,0757-82917207,9123,,"意大利香肠,曲奇饼干,蜂蜜燕麦面包,提子曲奇,照烧鸡三明治,意大利香辣,奶酪包,金枪鱼,奇士牛排,巧克力,照烧鸡排三文治,酸黄瓜,立顿红茶,黄芥末酱,火腿三明治,海鲜蟹肉,芥末酱,燕麦包,腌黄瓜,零度可乐,烧烤酱,培根三明治,热红茶,白面包,1,香奶酪面包,鸡仔饼,日式照烧鸡,烤鸡肉,烤牛肉三文治,香辣牛肉三明治,黄咖喱,沙拉酱,葱香鸡排,火腿片"
荷城土鸡店,其他地方菜,4.8,高明,荷城,22.890358,112.859329,高明区高明大道东-518号,3-4人餐98元，5-6人餐168元;,周一至周日 11:00-13:30 17:00-20:30  非营业时段 2018-02-10至2018-02-20 全天,0757-88688696,9113,荷城土鸡店招牌土鸡煲乃精选放养纯种土鸡。经大厨精心研制，升华传统烹调模式，制作出香气四溢，香嫩爽口的土鸡煲越吃越香，回味无穷。,"焖鸡,招牌黄焖鸡,鸡杂,鸡煲,腐竹,配菜,茶树菇鸡煲,香辣鸡,美味鱼头,清补凉,千叶豆腐,酸辣鸡杂,炒芹菜,农家菜,凉拌金针菇,鸡脖子,大盆菜,烫青菜,鱼头煲,鸽子汤,焖土鸡,啫啫鸡"
起司猫(华远东店),西式甜品,4.3,禅城,东建世纪广场,23.007849,113.117104,禅城区华远东路侨都花园正门旁,68元蛋糕3选1，巧克力淋面芝士蛋糕78元，重榴莲芝士蛋糕128元，可妮兔芝士蛋糕（芒果芝士 榴莲芝士 酸奶）139元，4磅圣诞版榴莲芝士蛋糕268元;,周一至周日 10:30-22:00,18928647474,9100,cheese cat是佛山新兴的蛋糕甜品店，各分店交通便利，生活娱乐设施俱全，是休闲逛街的好去处。chesse cat的每一款甜品都是精心之作，体现了老板对于生活的热爱，同时把这种对于生活的热爱带给身处于都市中的人。,"芒果西米捞,芒果绿茶豆腐,木瓜鲜奶,杨枝甘露,重榴莲芝士蛋糕,芒果椰汁西米露,雪耳炖木瓜,芝麻糊汤丸,芒果冰砂特饮,港式丝袜奶茶,红豆绿茶豆腐,鲜奶汤圆,杏汁汤圆,蜂蜜草莓芝士蛋糕,芦荟西米捞,红豆凉粉冰,川贝炖双雪,椰汁汤圆,芒果鲜奶,芒果汁,芒果椰奶龟苓爽,红豆菠萝冰,芒果凉粉,木瓜凉粉,红豆芦荟冰,杏仁撞蛋白,红豆抹茶豆腐,芒果椰汁豆腐,枣莲炖雪蛤,创意泰式榴莲冰沙,热柯华田,热奶茶,金银花茶,天山雪菊花茶,榴莲相思,雪儿木瓜炖鲜奶,太极芝麻花生糊,椰香栗子西米露,红豆沙汤丸,鲜奶汤丸,椰汁汤丸,杏汁汤丸,椰香荔芋西米露,红豆姜撞奶,红豆鲜奶热饮,红豆椰汁热饮,红豆杏汁热饮,柚子茶,红枣雪儿炖莲子,多芒重芝士蛋糕,热情香槟多芒重芝士蛋糕,榴莲菠萝重芝士蛋糕"
金太阳酒店自助餐厅,自助餐,3.5,三水,三水区,23.154607,112.904985,三水区广海大道东6号金太阳酒店1楼（近右岸公园）,水果忌廉蛋糕68元，黑森林蛋糕88元，单人晚餐96元，日本芝士蛋糕128元，意大利提拉米苏蛋糕138元，[4]人晚餐369元，[6]人晚餐548元，[10]人晚餐888元;,周一至周日 07:30-24:00,0757-87783333,9092,金太阳酒店占地面积1300㎡，无柱式的中空设计尽显华丽气派，可同时容纳1000人，80围中式餐桌，无论是会议、展览活动、时装表演，还是各式自助餐会、西式鸡尾酒会、中式婚宴等等均显气场。有七个80-430㎡的多功能会议厅，先进的视听设备、专业舞台、高速宽带、多媒体投影仪等一系列会议设施，配合酒店专业会务管家提供的一站式服务。时尚荟萃风情美食，一站娱乐休闲体验。酒店内三间风味迥异的餐厅，揉合了世界各地美食佳肴，琳琅满目，带给您优质的饕餮之旅。另外，酒店致力于为您提供卓越而不奢华的服务与设施，让您充分体验商务、美食、休闲及娱乐新概念,"牛仔骨,蛋糕,白灼基围虾,刺身三文鱼,生蚝,烧鸭,吞拿鱼三文治,象拔蚌刺身,烩鲜松茸,碳烧生蚝,小蛋糕,青口贝,鱼生,烧肉,脆皮烧肉,鲍鱼鹅掌,意式特浓,饺子,法式面包,烤牛腿,刀鱼,冰虾,生鱼片,芝华士12年,大虾,哈密瓜,濑尿虾,虾子,骨头,小点,蒸排骨,酸奶蛋糕,椰汁糕,带子,各式蛋糕,扒类,肉丸,柠檬汁,烧蚝,拿铁咖啡,炸鳕鱼,翡翠螺,鸡排,薯条,蔬菜沙拉,老火汤,烧排骨,蟹腿,蛋挞,猪扒鸡扒,凤爪,椰蓉伍仁月饼,八爪鱼,芒果芝士,双黄白莲蓉月饼礼盒"
同湘会(城门头店),湘菜,4.2,禅城,祖庙,23.027419,113.111034,禅城区城门头路2号华辉大厦5楼（百花广场对面）,90代100元;,周一至周日 10:30-21:30,0757-82626315/82626316,9094,-全国直营连锁- 广州市同湘会饮食有限公司是一家专注经营“精品湘菜”的直营连锁餐饮企业。自创立以来，同湘会坚持以“以精久谋强大”的发展理念，以打造中国华南区专业湘菜（直营连锁）知名品牌“为目标！至2014年，已在广州、北京、深圳、佛山等城市发展至40余家直营连锁店，年营业额超3亿元，员工人数达2000余人，成为中国华南区分店数最多、品牌影响力**的直营连锁湘菜品牌！我们将持继为湘菜的发展作出更大贡献！欢迎品鉴......,"牛肉,双色鱼头,酸汤田鸡,盐插虾,手撕包菜,铁板水晶粉,西门雄鸡,串串虾,挤白菜排骨,大锅煮皖鱼,泡椒鱼头,口水鸡,干锅黄骨鱼,青椒肚条,酱汁淮山,虫草水鸭汤,酱萝卜,一碗香,千叶豆腐,咸蛋南瓜,莲蓬扣肉,辣椒炒肉,酸菜鱼,鸳鸯鱼头,排骨莲藕汤,凉拌木耳,双椒鱼头,爽脆极品云耳,小炒仔姜鸭,攸县香干,养生四季,水蒸蛋,冰镇小青瓜,清蒸鲈鱼,黄金虾,小炒河虾,干锅手撕鸡,加多宝,干锅田鸡,牛肉丸,脆皮肠,田鸡蟹,海鲜毛血旺,美味鸡蛋干,酸烫田鸡,粉皮猪手,芋头排骨,鱼香茄子,红烧肉,玉米汁,酸辣鸡杂,香锅虾,长寿面,米豆腐"
粉之园(碧溪店),小吃快餐,5,顺德,大良,22.831506,113.269439,顺德区大良碧溪路10号康城花园二期尚域商铺33号,8.8元4选1单人餐，20.8元粉之园    双人快餐;,周一至周日 08:30-20:00,15088007571,9016,桂林山水，烟雨漓江，刘三姐的歌声荡漾在漓江之上，米粉的芬芳绕潦在山寨之间。米粉，这一圆玉润，深闰千年的中华美食，经过悉心培育，终于掀去了她神秘的面纱，成为中华美食花苑中一朵盛开的奇葩。粉之园，立志做最好吃的桂林米粉,"招牌卤粉,桂林酸辣粉,牛肉卤粉,可乐,锅烧卤粉,铁锅卤粉,叉烧卤粉,面粉,雪碧,芬达,秘制牛腩粉,维他奶,鲜豆浆,牛肉粉"
华莱士(均安店),快餐,3.2,顺德,均安,22.70593,113.156176,顺德区均安镇宏安路30号,9.9元开心牛堡套餐，10.9元经典单人餐，11元休闲单人餐，16元小吃单人餐，16元经典三堡，16元红豆大派送套餐，16元香芋大派送套餐，18元肉卷鸡排套餐，19.8元手扒鸡套餐，28元经典双人餐，48.8元合家欢套餐;,周一至周日 10:00-23:55  非营业时段 2018-02-15至2018-02-16 08:00-18:00,0757-25584877,8990,,"鸡肉卷,鸡腿汉堡,香辣鸡翅,薯条,百事可乐,手扒鸡,蜜汁鸡,田园堡,香辣堡,小薯条,烤鸡翅,骨肉相连,鸡翅膀,童子鸡,蜜汁鸡翅,蜜汁手扒鸡,无骨鸡柳,上校鸡块,酸菜鱼,炒粉干,鸡汉堡,红豆派,脆骨串,爱心鸡排,牛肉汉堡,香芋派,沙拉酱,黑椒鸡块"
如品面包坊,蛋糕,4.3,禅城,同济,23.014013,113.117216,禅城区金澜北路18号,11元牛奶味手撕包;,周一至周日 07:00-22:00,15875846397,8984,,"牛奶手撕包,牛奶面包,招牌手撕包,南瓜手撕包,无水手撕面包,南瓜包,奶酪包,奶香面包,手工面包,奶酪面包,面包片,牛奶吐司,各种小点心,普通面包,芝士蛋糕,糯米团,纯牛奶手撕包,芝士面包,椰丝提子包"
华莱士(大良店),快餐,3.8,顺德,大良,22.817319,113.238481,顺德区大良红岗工业区展业路红岗市场内（公交站）,9.9元开心牛堡套餐，10.9元经典单人餐，11元休闲单人餐，16元小吃单人餐，16元经典三堡，16元红豆大派送套餐，16元香芋大派送套餐，18元肉卷鸡排套餐，19.8元手扒鸡套餐，28元经典双人餐，48.8元合家欢套餐;,周一至周日 09:00-12:00,0757-22615220,8978,,"鸡腿汉堡,薯条,香辣鸡翅,鸡肉卷,冻可乐,蜜汁手扒鸡,爆米花,鸡肉堡,鸡米花,冰可乐,骨肉相连,美团两人餐,牛肉汉堡,小汉堡,上校鸡块,辣椒粉,无骨鸡柳,沙拉酱,红豆派,童子鸡奥尔良烤鸡,蜜汁鸡,大可乐,冰激凌"
登龙阁(文华里店),港式火锅,4.3,禅城,文华里,23.019316,113.130167,禅城区忠义路51号美食天地B11-12号（文华路与同济东路交界）,9.5折（买单立享）;3人餐138元起，3人餐138元起，4人餐288元;90代100元;,周一至周日 11:00-14:00 17:30-21:30,0757-82062208,8957,登龙阁位于忠义路文华里美食天地B11—12号，麦当劳斜对面。肥牛切得厚薄均匀，原汁原味，“鲜嫩”中带有“嚼劲”，配上秘制酱料，会给您一种完全不同的味觉冲击。餐厅内的欧式装修，灯光和谐，环境宽敞整洁。其特色肥牛系列火锅也一直深受广大市民的喜爱,"桑拿鱼,桑拿鸡,生蚝,登龙阁招牌三角肥牛,海南文昌鸡,A级肥牛,桑拿海南文昌鸡,登龙阁爽脆猪肉丸,登龙阁安格斯肉排,莲藕片,鱼泡,淮山,红乳牛肝菌,野生珍菌水库大头大盘鱼,手打肥牛肉丸,榕蛇,美味牛肝菌,山珍野生菌汤底,鲜冬菇,陈村河粉,登龙阁猪上排,白贝,大豆芽菜,磨芋丝,港式云吞,神奇御用药膳汤料,登龙阁牛肋条,登龙阁美味咖喱汤底,莴笋,大闸蟹,雪花牛排,手打猪肉丸,七彩鱼丸子,娃娃菜,蒸鱼,高明濑粉,木瓜,安格斯肉排,登龙阁上脑肉,登龙阁牛脷,牛骨髓,杂菜,日本豆腐,白萝卜,土豆片,肥牛饺子,猪杂,牛草肚,七彩虾球丸,家乡腐竹,阳山山水豆腐,鸡肉,鸡胸,肥羊卷,粉丝,肥牛,水库大头大盘鱼,水鱼,杏鲍菇,绣珍菇,登龙阁牛板腱,海鲜菇,桑拿九节虾,清炒洪湖藕尖,甜薄撑,罗非鱼肉"
如轩砂锅粥(粤荣店),粤菜,4.4,禅城,祖庙,23.024265,113.115003,禅城区卫国路100号粤荣大厦首层1号铺,每满100减3（买单立享）;2-3人餐158元，4-5人餐218元;,周一至周日 午市 11:00-14:00 晚市 15:00-23:00,0757-83829848,8930,如轩砂锅粥，是以经营特色海鲜砂锅粥为主的中式粥品连锁品牌，只选用原产东北粳米中的“越光”有机米，配以慢火熬制的秘制高汤，同时加入二十多种天然香料和养生食材，绝不添加味精，每一锅均是精心现煲而成，煲出的粥鲜甘爽口，清香怡人、营养丰富。店内简约雅致的中式装修，与古筝优雅的琴韵相呼应，营造出恬淡幽静的就餐环境，让人远离都市喧嚣，释放身心。 目前，如轩砂锅粥在全国已有近40家连锁分店，矢志打造中式粥品连锁品牌。,"上海灌汤包,砂锅粥,灌汤包,沙虾水蟹粥,红油野蕨菜,绿茶饼,芝香鸡排,翠香软骨饺,珍荟五福粥,菊花普洱茶,橄榄油炒云耳淮山,皮蛋瘦肉粥,手剥笋,干贝海参鲜虾粥,菊花茶,墨鱼仔香芋鲜虾粥,山椒小木耳,蒜茸油麦菜,如轩乌鸡粥,滋阴养阳水鱼粥,蒜蓉油麦菜,蟹子鲜虾灌汤包,三丝炒米粉,纤体魔芋丝,龙井绿茶饼,脆爽青瓜,小笼包,阳澄湖大闸蟹,淮山元贝烧骨粥,蒜香排骨,蒜香骨,薄饼,鸭舌,如轩田鸡粥,蟹粉丸子海参粥,川北凉粉,可乐姜汁糕,上汤菜心,花茶,鱼片粥,八珍戏鱼粥,榴莲薄饼,港式蒸凤爪,干炒牛河粉,花蟹鲜虾粥,大闸蟹,豆鼓鲮鱼时蔬,上汤豆苗,椒盐（美极）鸭下巴,啫啫田鸡,温州鸭舌,蒜茸（红油）山野菜,麻辣（香拌）牛肉,鱼皮饺,孜然脆爽骨,姜汁糕,陈年普洱功夫茶,迷你山芋仔,鲍汁蟹味菇,清远鸡粥,酸辣撅根粉,豆豉鲮鱼油麦菜,素卷春心,榴莲酥,湿炒牛河,蒜茸红油山野菜,清热排毒茶"
佛山公特产(南风古灶店),糕点店,5,禅城,石湾,23.00562,113.078287,禅城区南风古灶十字巷（首层101室）,9.9元糖套餐，88元岭南什锦饼;,,0757-22153913,8912,佛山公特产凭借其多年的点心制作经验，能够有效的保障食品质量。佛山公在本土是一间享有很高的知名度的点心店，精致礼品形象，引领礼品时尚，是您挑选馈赠点心礼品的好去处。,"佛山公果仁核桃酥,佛山公鸡蛋卷（铁罐装）"
台派涮涮锅(怡丰城店),涮涮锅,4.1,南海,怡丰城,23.03346,113.187272,南海区怡丰城4楼(电影院门口),双人餐78元;,周一至周日 11:00-22:00  非营业时段 2018-02-15至2018-02-15 全天,0757-86713289,8908,,"优质肥牛,猪肉,手打墨鱼丸,骨王汤底,台湾海胆王,牛肉,暢飲杯,清汤汤底,手工八爪鱼丸,自家三色面,雪花牛肉,肥牛,香辣虾,农家鸡,油碟,蟹子丸,香辣蟹,肉丸,地瓜芋头,米饭,墨鱼肉,火锅面,手工肉丸,海带,冰淇淋,五花肉,玉米,牛肉酱,麻酱,猪五花肉,牛肉丸,肥牛肉,水煮鱼,猪脑,大骨汤,套餐食品,羊羔片,清补,香香小肥牛,菌王汤底,帆立贝,地瓜丸,酸菜鱼,干锅虾,酱料,麻辣汤底,支竹,菜,米线,猪五花,米粉,骨头汤,套餐菜,凉粉,鱼皮饺,粉丝,南瓜饼,白饭,油麦菜,菠菜,骨汤,杂丸,清补汤底,骨王湯底,海鲜汤底,野生人参乌鳮汤底,海胆丸拼盘,养身乌鸡卷,主食：江西米粉,番茄汤底,豆腐,粉条,淮山,肥牛卷,鲨鱼肚,豆腐皮,时蔬,麻辣火锅,汤,章鱼丸,蟹黄丸,麻辣烫,炸香蕉饼,凉皮,海鲜锅底,蟹棒鱿鱼,海胆丸,羊羔肉"
探蟹肉蟹煲(保利水城店),干锅/香锅,3.7,南海,千灯湖/保利水城,23.060454,113.148341,南海区桂城灯湖东路20号保利水城购物中心2层,每满100减5（买单立享）;双人餐128元起，3-4人餐288元;50代100元，78代100元，89.9代100元;,周一至周日 11:00-22:00,0757-86233385,8913,,"鸡翅煲,明虾煲,黑鱼煲,牛蛙煲,猪手煲,肉蟹煲,鸡爪煲,仔排煲,凉拌土豆丝,开胃酱萝卜,蒜泥青瓜,马家地瓜丸,我爱凤爪,秘制泡菜,葡萄气泡饮料,金桔柠檬汁,酸梅汤,纸巾,米饭,茶位"
蜀八婆香汁焖锅(东方广场店),焖锅,4.9,禅城,东方广场,23.038243,113.122278,禅城区东方广场首层风情街11-12号铺,2-3人餐78元，2-3人餐88元，2-4人餐88元，2-4人餐98元，3-4人餐108元，3-4人餐128元，4-6人餐178元，6人餐198元，4-6人餐238元;80代100元;,周一至周日 09:00-02:00,0757-82615282,8864,,
大龙燚火锅(中海环宇城店),川味火锅,3.7,南海,中海环宇城,23.0436,113.15659,南海区桂澜中路18号中海环宇城5层,每满100减5（买单立享）;单人餐28元;,周一至周日 11:00-22:00,0757-86360060/86360061,8863,,"空运大刀毛肚,麻辣牛肉,鲜猪黄喉,鲜千层肚,鲜鹅肠"
妙香居韩国料理(北滘店),韩国菜,3.6,顺德,北滘,22.932297,113.214434,顺德区北滘人昌路10号北滘广场四楼A003a,双人餐148元，4人餐258元;95代100元;,周一至周日 11:00-21:30  非营业时段 2018-02-14至2018-02-18 全天,0757-22390688/22390699,8857,                            ,"海鲜饼,烤牛原味五花肉,石窝饭,泡菜火锅,烤牛舌,烤美国白猪肉,烤特选五花肉,蛋包饭,泡菜牛肉蓋飯,泡菜汤,烤雪花牛小排,烤猪梅花肉,鳗鱼饭,水果沙拉,辣牛肉泡饭,牛肉泡饭,烤牛肉,糯米酒,炖鸡汤,烤鸡肉,人参鸡汤,海带汤,蟹籽炒饭,杂酱面,炸蔬菜,咖喱牛肉石锅饭,牛骨肉,海鲜薄饼,芝士雪花牛肉饭,雪花牛肉,烤鸡腿肉,牛腩面,烤肥牛,传统炒年糕,配菜,蔬菜什锦,柚子茶,茶位,烤五花肉,烤猪颈肉,韩式特饮,妙香居特味沙律,牛排萝卜粉丝汤,烟肉,烤板腱肉,煎黄花鱼,特味海鲜饼,烤年糕,天妇罗,炒年糕,午市套餐,烟熏肉,芝士排骨,金桔柠檬汁"
王子音乐餐吧,西餐,3.8,顺德,龙江,22.87286,113.06966,顺德区文华路49号太子广场地铺（朗廷酒店一楼）,双人餐128元起，3人餐218元;,周一至周日 12:00-14:30 17:00-00:00,0757-29225576,8822,,"生炒牛肉饭,奶茶,法国香葱鸡扒,越式龙利柳,韩式泡菜,西冷,水果,意大利肠仔牛肉披萨,椰汁紫薯焗饭,三明治,炸鸡中翅,西冷扒,味道很好就是份量少能大份点吗,肠仔牛肉披萨,肉酱焗意粉,飞天大什扒,黑椒牛柳意粉,西冷牛扒不错,柠乐太多冰可乐没汽,海鲜焗意粉,龙利鱼,韩国泡菜,猪扒,凉伴青瓜,柚子茶,鸡尾酒,柠檬水,刀拍黄瓜,T骨排,牛肋排,西冷牛排,牛肋骨,T骨扒,香草意粉,葡国鸡饭,肉酱意粉,水果拼盘,培根肉酱菠菜面,西冷排,牛板腱,柑橘茶"
华莱士(祥业店),汉堡,3.4,顺德,容桂,22.760281,113.286101,顺德区青龙北路祥业豪苑10号（青龙公园对面）,11.5元经典单人餐，12元休闲单人餐，15.9元休闲工作餐，20.5元手扒鸡套餐，29.9元经典双人餐，62元食全食美套餐;,周一至周日 09:00-01:00,0757-26163929,8813,华莱士秉承着至真至诚的服务理念，选用上好品质高德食材，新鲜制作。让每位顾客可以把营养吃出来，把营养带到你身边。各店装修简明舒适，给顾客一个“家”的感觉，享受着快节奏的西式快餐。简单，有滋味。,"无骨鸡柳,简单有滋味,蜜汁手扒鸡,可乐中杯,烧鸡翅,烤鸡翅,鸡腿汉堡,上校鸡块,手扒鸡,鸡肉卷鸡肉块"
妙香居韩国料理(龙江店),韩国菜,3.3,顺德,龙江,22.870396,113.077165,顺德区龙江镇盈信广场2期2层,双人餐148元，4人餐258元;95代100元;,周一至周日 11:00-21:30  非营业时段 2018-02-14至2018-02-18 全天,0757-29290457,8808,,"辣白菜,烤牛舌,烤特选五花肉,生菜叶,泡菜汤,明太鱼,牛肉石锅饭,咖喱牛肉饭,烤海鲜,海鲜拼盘,石锅拌饭,紫菜汤,辣年糕,大酱汤,泡菜饼,泡菜炒饭,生菜包,小点心,菜,西瓜,海带汤,咖喱拌饭,雪花牛肉,烤鸡腿肉,烤肥牛,蔬菜什锦,石窝饭,炸时蔬,泡菜面,紫菜卷,蜂蜜柚子茶,冻柠蜜茶,海鲜饼,芝士牛肉炒饭,五花猪肉,咖喱牛肉拌饭,蔬菜沙拉,牛排骨,烤五花肉,烤猪颈肉,韩式特饮,寿司,砂锅饭,传统石锅拌饭,烤雪花牛小排,烤LA牛排,烤雪花猪颈肉,烤美国白猪肉,高丽参鸡汤,烤猪梅花肉,茶位,妙香居特味沙律,牛排萝卜粉丝汤,辣牛肉泡饭,烟肉,炒乌冬,烤板腱肉,芝士焗年糕,煎黄花鱼,特味海鲜饼,茶,韩式炒粉丝"
板田寿司专门店(吉之岛总店),日式寿司,3.4,顺德,大良,22.82645,113.272761,顺德区南国中路永旺购物中心3楼,满100送5元尊享券（买单立享）;双人餐99元，4人餐189元;45代50元;,周一至周日 11:00-21:00,0757-28099005,8817,,"地狱拉面,三文鱼刺身,芝麻八爪鱼,叉烧面,饭,吞沙寿司,吞拿鱼沙律,鳗鱼炒饭,北极贝,芒果三文鱼,甜虾寿司,火炙蟹棒,大坂烧,三文鱼腩刺身,火炙芝士三文鱼,火灸三文鱼,玉子寿司,蕃茄拉面,火炙三文鱼腩,鳗鱼手卷,饮品,滑蛋猪扒,章鱼小丸子,三文鱼骨,寿司卷,酱油叉烧拉面,三文鱼头汤,土豆沙拉,寿司船,玉米寿司,金装三文鱼刺身,三文鱼蟹籽炒饭,水果沙律,蟹籽沙律,三文鱼蟹子炒饭,寿司饭,炸虾卷,三文魚"
黄氏正轩牛奶甜品专家,传统甜品,5,,大沥,23.111392,113.126625,大沥体育路豪美市场5号,6.8元招牌甜品，28.8元情侣套餐，42元豪华全家福套餐;,周一至周日 10:00-23:00,13336416773,8795,,"招牌姜撞奶,撞奶,姜撞奶,双皮奶,好食姜撞奶,奶,凉粉,柠檬汁,车仔面,柑橘柠檬,鱼蛋乌冬,柑橘柠檬茶"
